Entity,Code,Year,Mean lead concentrations in the blood of adults
Bangladesh,BGD,2019,3.9
Benin,BEN,2019,4.56
Brazil,BRA,2019,3.43
China,CHN,2019,3.47
Colombia,COL,2019,0.98
Democratic Republic of Congo,COD,2019,5.82
Egypt,EGY,2019,10.36
Ethiopia,ETH,2019,3.92
Ghana,GHA,2019,1.45
Grenada,GRD,2019,1.17
India,IND,2019,4.42
Indonesia,IDN,2019,2.11
Iran,IRN,2019,6.03
Iraq,IRQ,2019,8.47
Jamaica,JAM,2019,0.83
Jordan,JOR,2019,3.16
Kosovo,OWID_KOS,2019,1.7
Lebanon,LBN,2019,4.35
Malaysia,MYS,2019,2.6
Mexico,MEX,2019,3.39
Mongolia,MNG,2019,3.1
Morocco,MAR,2019,4.8
Nepal,NPL,2019,4.44
Nigeria,NGA,2019,7.76
North Macedonia,MKD,2019,2.41
Pakistan,PAK,2019,11.36
Russia,RUS,2019,1.56
Serbia,SRB,2019,1.27
South Africa,ZAF,2019,1.57
Sri Lanka,LKA,2019,4.37
Sudan,SDN,2019,0.39
Tanzania,TZA,2019,4.71
Thailand,THA,2019,4.89
Tunisia,TUN,2019,9.36
Turkey,TUR,2019,2.51
Ukraine,UKR,2019,1.96
Vietnam,VNM,2019,3.9