Entity,Code,Year,Mean lead concentrations in the blood of children
Bangladesh,BGD,2019,7.87
Benin,BEN,2019,5.27
Brazil,BRA,2019,2.65
Cameroon,CMR,2019,8.7
China,CHN,2019,4.17
Colombia,COL,2019,3.06
Democratic Republic of Congo,COD,2019,7.46
Ecuador,ECU,2019,3.17
Egypt,EGY,2019,8.24
Ethiopia,ETH,2019,1.66
Haiti,HTI,2019,6
India,IND,2019,5.22
Indonesia,IDN,2019,5.2
Iran,IRN,2019,3.62
Iraq,IRQ,2019,5.3
Jamaica,JAM,2019,2.9
Kosovo,OWID_KOS,2019,2.3
Mexico,MEX,2019,3.62
Mongolia,MNG,2019,3.82
Morocco,MAR,2019,4.57
Nepal,NPL,2019,6.69
Nigeria,NGA,2019,7.67
Pakistan,PAK,2019,9.27
Palestine,PSE,2019,9.3
Romania,ROU,2019,2.6
Russia,RUS,2019,5.17
Senegal,SEN,2019,8.22
Serbia,SRB,2019,7.8
South Africa,ZAF,2019,5.59
Tanzania,TZA,2019,2.26
Thailand,THA,2019,5.12
Turkey,TUR,2019,3.23
Uganda,UGA,2019,6.68
Vietnam,VNM,2019,4.97