"By administrative divisions(eup, myeon, dong)",2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"By administrative divisions(eup, myeon, dong)",Total population (Person),Male (Person),Female (Person),Korean - total (Person),Korean - male (Person),Korean - Female (Person),Foreigner-Total (Person),Foreigner-Male (Person),Foreigner-Female (Person),Household-Total (households),Type of occupancy (households),Institutional households (households),Foreigner household (households),Housing units-Total (Housing),Detached dwelling (Housing),Apartment (Housing),Row house (Housing),Apartment unit ina private house (Housing),House within commercial building (Housing),Living quaters other than housing unit (Housing)
"Whole country",51805547,25930817,25874730,49762803,24766373,24996430,2042744,1164444,878300,22997120,22294419,19874,682827,19872674,3841487,12973943,542861,2302915,211468,1243052
"Total for eups",5207049,2692092,2514957,4928981,2511910,2417071,278068,180182,97886,2267001,2185798,3110,78093,2176913,586641,1327806,83683,147011,31772,84540
"Total for myeons",4531891,2395838,2136053,4184061,2144258,2039803,347830,251580,96250,2140956,2057129,5062,78765,2163044,1549610,467415,38756,74566,32697,116058
"Total for dongs",42066607,20842887,21223720,40649761,20110205,20539556,1416846,732682,684164,18589163,18051492,11702,525969,15532717,1705236,11178722,420422,2081338,146999,1042454
"Seoul",9335444,4491757,4843687,8968153,4326627,4641526,367291,165130,202161,4319073,4159502,2442,157129,3170332,286542,1906060,110623,839901,27206,312958
"Jongno-gu",144486,68604,75882,132177,63410,68767,12309,5194,7115,70241,64643,107,5491,47156,11556,16345,5548,12849,858,7360
"Jung-gu",126899,60550,66349,115712,55459,60253,11187,5091,6096,64816,59849,93,4874,44572,5688,28409,1871,7777,827,8447
"Yongsan-gu",203401,97246,106155,190640,90649,99991,12761,6597,6164,98398,93491,68,4839,78063,13226,39915,3998,20266,658,7342
"Seongdong-gu",274688,132827,141861,264538,128415,136123,10150,4412,5738,127631,122894,65,4672,91231,9295,68086,1998,10896,956,7618
"Gwangjin-gu",345130,164812,180318,323153,155402,167751,21977,9410,12567,169231,158609,78,10544,95631,14749,35199,4212,40082,1389,10511
"Dongdaemun-gu",355789,171604,184185,332325,162325,170000,23464,9279,14185,172439,160767,146,11526,110761,16011,72215,3378,17662,1495,16977
"Jungnang-gu",375066,182365,192701,366785,179012,187773,8281,3353,4928,176740,173326,75,3339,120876,17628,60832,4247,36690,1479,6924
"Seongbuk-gu",429210,203170,226040,413325,197143,216182,15885,6027,9858,191165,184228,224,6713,143758,20723,84332,6391,30976,1336,4281
"Gangbuk-gu",280470,133834,146636,273271,131321,141950,7199,2513,4686,134478,130929,93,3456,101800,16937,37754,4980,41131,998,3755
"Dobong-gu",296997,142662,154335,293264,141330,151934,3733,1332,2401,131159,129841,78,1240,109638,8239,65706,4235,30751,707,6131
"Nowon-gu",486446,233042,253404,479779,230358,249421,6667,2684,3983,207675,205666,99,1910,192808,6328,166952,3559,15296,673,3372
"Eunpyeong-gu",448142,211821,236321,442324,209448,232876,5818,2373,3445,200904,198916,93,1895,163763,13270,72680,5569,71042,1202,11626
"Seodaemun-gu",316345,145122,171223,299307,139691,159616,17038,5431,11607,145416,137979,104,7333,106311,11772,59575,5434,28644,886,8467
"Mapo-gu",358927,166191,192736,346727,161595,185132,12200,4596,7604,173531,167967,94,5470,129425,10538,77151,2969,37324,1443,17994
"Yangcheon-gu",417397,203140,214257,412128,200985,211143,5269,2155,3114,171027,169044,49,1934,147679,7449,93090,4027,42314,799,7146
"Gangseo-gu",543974,259852,284122,535378,256208,279170,8596,3644,4952,259211,256036,97,3078,204363,9423,119521,4818,69538,1063,35319
"Guro-gu",418832,207187,211645,375584,183672,191912,43248,23515,19733,190182,171388,88,18706,137950,11008,86464,7576,32094,808,18251
"Geumcheon-gu",243662,122912,120750,218076,109345,108731,25586,13567,12019,124012,112676,66,11270,72667,8453,33113,4034,26556,511,17594
"Yeongdeungpo-gu",400799,197205,203594,358026,174865,183161,42773,22340,20433,192656,176587,124,15945,115011,13454,81334,1668,17461,1094,34073
"Dongjak-gu",381172,183544,197628,364750,176610,188140,16422,6934,9488,181275,173615,144,7516,120989,12459,68782,5005,33746,997,4218
"Gwanak-gu",490493,244885,245608,465068,234237,230831,25425,10648,14777,277394,264148,178,13068,130987,20578,57884,6230,44409,1886,20580
"Seocho-gu",386254,183900,202354,379879,180930,198949,6375,2970,3405,160651,158384,64,2203,134566,4796,95946,5219,27470,1135,9764
"Gangnam-gu",528194,252802,275392,519616,249022,270594,8578,3780,4798,229978,226333,77,3568,192220,6045,145996,5555,33095,1529,15183
"Songpa-gu",628648,301344,327304,619013,297008,322005,9635,4336,5299,271703,267817,74,3812,222795,7555,137132,4725,71951,1432,19813
"Gangdong-gu",454023,221136,232887,447308,218187,229121,6715,2949,3766,197160,194369,64,2727,155312,9362,101647,3377,39881,1045,10212
"Busan",3257256,1587677,1669579,3189494,1549631,1639863,67762,38046,29716,1491579,1470562,829,20188,1350452,184947,943568,30360,178559,13018,109459
"Total for eups",166185,82656,83529,162877,80366,82511,3308,2290,1018,70079,69252,54,773,66646,7128,53518,1479,3877,644,3192
"Total for myeons",7043,3475,3568,6981,3446,3535,62,29,33,3367,3355,X,11,3163,1039,2040,X,18,66,156
"Total for dongs",3084028,1501546,1582482,3019636,1465819,1553817,64392,35727,28665,1418133,1397955,774,19404,1280643,176780,888010,28881,174664,12308,106111
"Jung-gu",39599,19497,20102,36575,17601,18974,3024,1896,1128,22233,21368,30,835,17241,4260,6032,700,5488,761,4118
"Seo-gu",103413,49701,53712,100164,47913,52251,3249,1788,1461,50417,49325,47,1045,45823,13000,23990,1135,7173,525,3458
"Dong-gu",85665,41301,44364,83164,40150,43014,2501,1151,1350,43272,42435,28,809,36434,13175,17029,1036,4659,535,5240
"Yeongdo-gu",106825,53482,53343,103857,51553,52304,2968,1929,1039,50488,49844,37,607,49812,13704,30577,1139,3872,520,1715
"Busanjin-gu",356874,170261,186613,353202,168710,184492,3672,1551,2121,173987,172688,66,1233,154115,19875,109960,1743,21285,1252,20683
"Dongnae-gu",265089,127425,137664,263667,126841,136826,1422,584,838,114421,113922,45,454,105460,11325,76479,2679,13794,1183,7864
"Nam-gu",260090,127056,133034,251219,122470,128749,8871,4586,4285,117843,114573,77,3193,112076,14544,70874,2977,22774,907,6402
"Buk-gu",265364,130024,135340,262456,128719,133737,2908,1305,1603,117123,116545,49,529,111482,6983,91735,2314,9777,673,2838
"Haeundae-gu",365974,175606,190368,361207,173273,187934,4767,2333,2434,161680,160164,46,1470,148481,11577,119429,2354,14266,855,15859
"Saha-gu",293036,145582,147454,286772,141669,145103,6264,3913,2351,133349,131455,74,1820,122805,16482,87791,5086,12446,1000,6623
"Geumjeong-gu",215539,104186,111353,209993,102002,107991,5546,2184,3362,101906,99693,90,2123,86959,15309,49277,3019,18112,1242,4950
"Gangseo-gu",145762,77868,67894,137624,70905,66719,8138,6963,1175,59108,57178,69,1861,49849,8690,39566,331,809,453,5754
"Yeonje-gu",207871,98780,109091,206701,98333,108368,1170,447,723,94013,93609,36,368,84650,9757,60697,1406,11954,836,6959
"Suyeong-gu",167787,78338,89449,165861,77474,88387,1926,864,1062,82362,81578,28,756,73953,9051,42287,2159,19747,709,7288
"Sasang-gu",205140,102439,102701,197174,98206,98968,7966,4233,3733,95931,93578,52,2301,81503,9048,62287,803,8508,857,6360
"Gijang-gun",173228,86131,87097,169858,83812,86046,3370,2319,1051,73446,72607,55,784,69809,8167,55558,1479,3895,710,3348
"Daegu",2369335,1164359,1204976,2324040,1140220,1183820,45295,24139,21156,1059084,1043729,662,14693,903591,145719,687156,9043,51628,10045,29333
"Total for eups",239935,121974,117961,231826,116997,114829,8109,4977,3132,99022,96685,75,2262,95833,10663,81654,649,1997,870,2749
"Total for myeons",44675,23303,21372,41939,21241,20698,2736,2062,674,20885,20225,49,611,21034,11944,8249,175,402,264,1177
"Total for dongs",2084725,1019082,1065643,2050275,1001982,1048293,34450,17100,17350,939177,926819,538,11820,786724,123112,597253,8219,49229,8911,25407
"Jung-gu",94128,45038,49090,93192,44630,48562,936,408,528,45195,44817,34,344,38298,5584,30435,356,1134,789,4601
"Dong-gu",336051,163725,172326,333506,162887,170619,2545,838,1707,154723,153872,80,771,141775,21523,103735,2216,12731,1570,4492
"Seo-gu",164110,81456,82654,160544,79413,81131,3566,2043,1523,78206,76913,60,1233,60157,20358,27276,745,10706,1072,1148
"Nam-gu",136118,64467,71651,134005,63630,70375,2113,837,1276,70565,69819,58,688,45266,17488,20911,556,5509,802,1572
"Buk-gu",422633,209441,213192,414806,205729,209077,7827,3712,4115,188378,185284,114,2980,156972,18930,128380,1761,6178,1723,4486
"Suseong-gu",398685,192287,206398,396625,191483,205142,2060,804,1256,167062,166264,50,748,148755,19332,120156,1369,6824,1074,4902
"Dalseo-gu",533000,262668,270332,517597,254210,263387,15403,8458,6945,235048,229850,142,5056,195501,19897,166360,1216,6147,1881,4206
"Dalseong-gun",263117,134437,128680,252945,127890,125055,10172,6547,3625,108867,106027,108,2732,105767,12804,89268,662,2067,966,3250
"Gunwi-gun",21493,10840,10653,20820,10348,10472,673,492,181,11040,10883,16,141,11100,9803,635,162,332,168,676
"Incheon",3058033,1532995,1525038,2930073,1462424,1467649,127960,70571,57389,1310880,1268133,1052,41695,1152762,90623,785828,31383,236402,8526,118839
"Total for eups",21087,10444,10643,20636,10201,10435,451,243,208,9309,9187,13,109,9427,3518,1194,955,3593,167,304
"Total for myeons",64414,34033,30381,62642,32631,30011,1772,1402,370,30943,30465,78,400,32021,25821,3033,874,1614,679,1730
"Total for dongs",2972532,1488518,1484014,2846795,1419592,1427203,125737,68926,56811,1270628,1228481,961,41186,1111314,61284,781601,29554,231195,7680,116805
"Jung-gu",164937,84863,80074,158634,81666,76968,6303,3197,3106,77348,75263,70,2015,62903,7790,44741,1903,7799,670,12467
"Dong-gu",57944,28988,28956,56473,28193,28280,1471,795,676,26157,25719,18,420,26410,4727,18143,439,2852,249,987
"Yeonsu-gu",417391,207871,209520,390482,193614,196868,26909,14257,12652,162651,153239,92,9320,136988,3410,125897,954,6430,297,14888
"Namdong-gu",492920,246405,246515,473657,234459,239198,19263,11946,7317,215012,209333,167,5512,190531,7380,133037,3721,45158,1235,20417
"Bupyeong-gu",504885,248443,256442,477768,234902,242866,27117,13541,13576,220039,210282,115,9642,184530,9398,126134,4602,43148,1248,24251
"Gyeyang-gu",278600,137693,140907,273233,135351,137882,5367,2342,3025,120065,118278,88,1699,113398,3379,75214,1830,32344,631,5019
"Seo-gu",634066,321792,312274,612877,308116,304761,21189,13676,7513,258059,251582,184,6293,233887,9025,170250,10361,43245,1006,17861
"Michuhol-gu",421789,212463,209326,403671,203291,200380,18118,9172,8946,191297,184785,227,6285,162667,16175,88185,5744,50219,2344,20915
"Ganghwa-gun",66309,33312,32997,64796,32284,32512,1513,1028,485,30173,29769,67,337,32810,22915,3707,1232,4330,626,1639
"Ongjin-gun",19192,11165,8027,18482,10548,7934,710,617,93,10079,9883,24,172,8638,6424,520,597,877,220,395
"Gwangju",1444171,715799,728372,1408289,696150,712139,35882,19649,16233,641029,628551,393,12085,567994,77228,464544,11612,8909,5701,22758
"Dong-gu",111289,54991,56298,108847,53647,55200,2442,1344,1098,53812,52807,54,951,44958,9942,30819,1033,2322,842,3262
"Seo-gu",278639,136908,141731,275320,135152,140168,3319,1756,1563,128435,127177,53,1205,110056,13588,92373,1481,1595,1019,6175
"Nam-gu",208707,99918,108789,206579,99065,107514,2128,853,1275,90888,90230,42,616,85690,14929,67194,1463,1256,848,1985
"Buk-gu",433089,214530,218559,426456,211340,215116,6633,3190,3443,195470,193109,103,2258,174445,22234,144492,2920,2743,2056,4833
"Gwangsan-gu",412447,209452,202995,391087,196946,194141,21360,12506,8854,172424,165228,141,7055,152845,16535,129666,4715,993,936,6503
"Daejeon",1467093,733118,733975,1435771,718738,717033,31322,14380,16942,670971,658831,558,11582,523823,74882,399124,10658,34137,5022,15256
"Dong-gu",229875,115562,114313,221767,111817,109950,8108,3745,4363,110169,106763,122,3284,84165,17192,56588,2343,6966,1076,1236
"Jung-gu",220497,107836,112661,218266,106962,111304,2231,874,1357,100593,99781,100,712,86121,16488,57310,2479,8491,1353,1316
"Seo-gu",462226,226531,235695,455371,223723,231648,6855,2808,4047,212645,209783,126,2736,156246,19229,126671,2599,6825,922,4732
"Yuseong-gu",384024,196773,187251,373979,191855,182124,10045,4918,5127,169474,165705,149,3620,130794,11492,113714,1641,3064,883,6934
"Daedeok-gu",170471,86416,84055,166388,84381,82007,4083,2035,2048,78090,76799,61,1230,66497,10481,44841,1596,8791,788,1038
"Ulsan",1106895,575564,531331,1071702,551851,519851,35193,23713,11480,473979,462342,309,11328,411508,64075,307911,8490,24338,6694,15680
"Total for eups",190602,100229,90373,181701,94426,87275,8901,5803,3098,80069,76843,58,3168,71579,11530,53836,1423,3637,1153,2570
"Total for myeons",33662,18210,15452,30898,15767,15131,2764,2443,321,15590,14995,54,541,15887,10444,3860,712,459,412,1201
"Total for dongs",882631,457125,425506,859103,441658,417445,23528,15467,8061,378320,370504,197,7619,324042,42101,250215,6355,20242,5129,11909
"Jung-gu",203766,102986,100780,201057,101786,99271,2709,1200,1509,89684,88674,37,973,73841,14245,49424,2036,6811,1325,2954
"Nam-gu",305176,156194,148982,298830,152853,145977,6346,3341,3005,136157,133777,83,2297,112629,12654,87667,2142,7870,2296,6743
"Dong-gu",158268,85698,72570,147557,77051,70506,10711,8647,2064,67172,63721,34,3417,56926,7752,43206,1363,3768,837,1313
"Buk-gu",215421,112247,103174,211659,109968,101691,3762,2279,1483,85307,84332,43,932,80646,7450,69918,814,1793,671,899
"Ulju-gun",224264,118439,105825,212599,110193,102406,11665,8246,3419,95659,91838,112,3709,87466,21974,57696,2135,4096,1565,3771
"Sejong-si",390156,195777,194379,382164,190884,191280,7992,4893,3099,161309,158901,115,2293,158283,16192,138356,1354,1664,717,3661
"Total for eups",47195,24650,22545,44759,23289,21470,2436,1361,1075,22379,21279,29,1071,17278,2819,12422,768,899,370,325
"Total for myeons",47441,26606,20835,43797,23831,19966,3644,2775,869,24056,23131,74,851,18331,12368,4749,216,651,347,1211
"Total for dongs",295520,144521,150999,293608,143764,149844,1912,757,1155,114874,114491,12,371,122674,1005,121185,370,114,X,2125
"Sejong-si",390156,195777,194379,382164,190884,191280,7992,4893,3099,161309,158901,115,2293,158283,16192,138356,1354,1664,717,3661
"Gyeonggi-do",13914479,7044388,6870091,13233278,6645322,6587956,681201,399066,282135,5827597,5592072,5285,230240,4962282,504954,3582867,138496,701579,34386,370297
"Total for eups",1481510,775891,705619,1377847,708200,669647,103663,67691,35972,617631,587355,948,29328,575930,84914,384015,24193,77328,5480,26393
"Total for myeons",775345,437865,337480,665208,352721,312487,110137,85144,24993,335161,308273,1330,25558,284623,167935,59759,9935,40348,6646,32949
"Total for dongs",11657624,5830632,5826992,11190223,5584401,5605822,467401,246231,221170,4874805,4696444,3007,175354,4101729,252105,3139093,104368,583903,22260,310955
"Suwon-si",1224979,616319,608660,1164984,586211,578773,59995,30108,29887,533566,508564,284,24718,411197,30137,308134,9731,60776,2419,31132
"Jangan-gu",280812,141278,139534,269932,135889,134043,10880,5389,5491,118686,114321,88,4277,94962,8422,64264,1811,19755,710,2210
"Gwonseon-gu",370600,186916,183684,353535,178382,175153,17065,8534,8531,161989,155236,56,6697,130264,9462,94078,2917,22983,824,6478
"Paldal-gu",208817,105434,103383,187912,94455,93457,20905,10979,9926,99485,90276,70,9139,73852,8132,47194,2373,15509,644,7246
"Yeongtong-gu",364750,182691,182059,353605,177485,176120,11145,5206,5939,153406,148731,70,4605,112119,4121,102598,2630,2529,241,15198
"Seongnam-si",900867,445311,455556,875060,433098,441962,25807,12213,13594,393786,383004,147,10635,281451,29513,205676,10924,33916,1422,35827
"Sujeong-gu",246990,124373,122617,230329,116200,114129,16661,8173,8488,116440,109006,47,7387,69364,16302,39799,1005,11721,537,5217
"Jungwon-gu",205957,103516,102441,201671,101581,100090,4286,1935,2351,94793,93112,56,1625,65938,7738,36493,972,20089,646,6523
"Bundang-gu",447920,217422,230498,443060,215317,227743,4860,2105,2755,182553,180886,44,1623,146149,5473,129384,8947,2106,239,24087
"Uijeongbu-si",456516,223735,232781,447713,219560,228153,8803,4175,4628,197569,194238,139,3192,173694,11927,135682,2856,22221,1008,8369
"Anyang-si",545800,268691,277109,534996,263514,271482,10804,5177,5627,224406,220099,102,4205,191236,8264,147234,3192,31400,1146,13568
"Manan-gu",229980,114139,115841,221647,110011,111636,8333,4128,4205,98466,95009,80,3377,77804,5751,48410,2059,20875,709,5676
"Dongan-gu",315820,154552,161268,313349,153503,159846,2471,1049,1422,125940,125090,22,828,113432,2513,98824,1133,10525,437,7892
"Bucheon-si",794082,391262,402820,749212,368953,380259,44870,22309,22561,339283,322370,229,16684,282358,16184,167724,6988,88955,2507,26539
"Wonmi-gu",401522,196424,205098,380022,185950,194072,21500,10474,11026,172501,164060,131,8310,134054,8435,89354,3304,31803,1158,19942
"Sosa-gu",240865,118258,122607,221686,108786,112900,19179,9472,9707,100466,93540,67,6859,83947,5152,55255,2059,20762,719,5568
"Ojeong-gu",151695,76580,75115,147504,74217,73287,4191,2363,1828,66316,64770,31,1515,64357,2597,23115,1625,36390,630,1029
"Gwangmyeong-si",272371,133393,138978,267562,131057,136505,4809,2336,2473,109073,107268,44,1761,96149,3316,78207,741,13469,416,5891
"Pyeongtaek-si",615755,325497,290258,576601,302938,273663,39154,22559,16595,273333,260328,237,12768,256250,33880,181978,7494,30815,2083,8673
"Dongducheon-si",89466,44744,44722,84461,42005,42456,5005,2739,2266,40125,38765,74,1286,39509,6410,22638,2594,7506,361,1163
"Ansan-si",701551,363576,337975,607938,310994,296944,93613,52582,41031,305073,267949,376,36748,229490,15292,120996,8593,83228,1381,16078
"Sangnok-gu",348328,177856,170472,320896,163835,157061,27432,14021,13411,152105,141317,144,10644,116521,7427,48805,1205,58351,733,3562
"Danwon-gu",353223,185720,167503,287042,147159,139883,66181,38561,27620,152968,126632,232,26104,112969,7865,72191,7388,24877,648,12516
"Goyang-si",1044968,509013,535955,1025352,499085,526267,19616,9928,9688,436591,430075,325,6191,356130,21224,282766,12575,37939,1626,48745
"Deogyang-gu",482446,236705,245741,474778,233108,241670,7668,3597,4071,206998,204590,131,2277,174023,10066,132672,6185,24232,868,18923
"Ilsandong-gu",288578,139911,148667,282038,136273,145765,6540,3638,2902,121124,118943,138,2043,86766,7533,65798,4126,8865,444,22448
"Ilsanseo-gu",273944,132397,141547,268536,129704,138832,5408,2693,2715,108469,106542,56,1871,95341,3625,84296,2264,4842,314,7374
"Gwacheon-si",81213,39761,41452,80758,39570,41188,455,191,264,29296,29182,11,103,24477,1554,20334,185,2310,94,1167
"Guri-si",182102,89902,92200,180002,88970,91032,2100,932,1168,75762,75031,29,702,60588,4310,48583,2056,5217,422,4286
"Namyangju-si",718385,355844,362541,706553,349073,357480,11832,6771,5061,283577,280404,267,2906,266326,17188,208683,12227,26634,1594,11591
"Osan-si",254071,132356,121715,235372,122561,112811,18699,9795,8904,111861,103897,82,7882,94274,5277,77726,1803,8865,603,4098
"Siheung-si",571982,302144,269838,506716,263960,242756,65266,38184,27082,242184,214491,206,27487,195742,7541,158113,1812,26975,1301,15599
"Gunpo-si",258110,127967,130143,248199,122983,125216,9911,4984,4927,109230,105395,74,3761,92260,3499,74910,1245,12165,441,5635
"Uiwang-si",151306,74874,76432,149731,74125,75606,1575,749,826,59627,59181,39,407,58832,2318,48339,775,7174,226,1833
"Hanam-si",320872,159390,161482,317055,157520,159535,3817,1870,1947,132818,131561,40,1217,101571,5994,91108,1428,2387,654,20568
"Yongin-si",1077481,536595,540886,1048779,520392,528387,28702,16203,12499,422581,413755,352,8474,376340,32072,293749,11792,36945,1782,18433
"Cheoin-gu",286273,148694,137579,270133,138326,131807,16140,10368,5772,118458,113692,198,4568,105514,20201,52447,6190,25400,1276,5540
"Giheung-gu",429488,211645,217843,421736,207871,213865,7752,3774,3978,167820,165282,106,2432,148823,7741,128382,3722,8651,327,6368
"Suji-gu",361720,176256,185464,356910,174195,182715,4810,2061,2749,136303,134781,48,1474,122003,4130,112920,1880,2894,179,6525
"Paju-si",510689,262068,248621,491221,248386,242835,19468,13682,5786,206173,201200,280,4693,192440,26181,140256,4004,20675,1324,10118
"Icheon-si",230189,121327,108862,216276,112820,103456,13913,8507,5406,96328,92642,167,3519,84492,23343,43911,3709,12236,1293,5344
"Anseong-si",215739,113407,102332,192155,98797,93358,23584,14610,8974,93907,86190,221,7496,86104,21789,55869,2738,4784,924,3984
"Gimpo-si",499536,257239,242297,466039,232191,233848,33497,25048,8449,199749,190489,170,9090,174514,13540,145123,5633,9283,935,17862
"Hwaseong-si",1004079,532995,471084,934208,484168,450040,69871,48827,21044,407751,388620,515,18616,360155,33817,298820,6002,19520,1996,32307
"Gwangju-si",402335,207712,194623,382599,194602,187997,19736,13110,6626,164139,158681,137,5321,146434,17063,62515,4542,61181,1133,4319
"Yangju-si",293000,149367,143633,280230,140393,139837,12770,8974,3796,119309,116280,217,2812,121024,10921,97497,3356,8296,954,3750
"Pocheon-si",157166,86341,70825,136613,71290,65323,20553,15051,5502,67134,62351,203,4580,58838,20967,22743,2727,11270,1131,6027
"Yeoju-si",117477,60416,57061,110630,56176,54454,6847,4240,2607,51149,49618,128,1403,47949,22014,18383,1553,5018,981,2370
"Yeoncheon-gun",40386,21430,18956,38571,20119,18452,1815,1311,504,18989,18486,43,460,17745,9038,5794,1157,1342,414,1042
